id,source,district,price,size_sqm,bedrooms,property_type,latitude,longitude,first_seen,last_seen,transaction_type,rent_frequency,bathrooms,furnishing,building_name,community,subcommunity,developer,floor,total_floors,parking_spaces,completion_status,year_built,service_charge_aed,amenities,listing_url,agent_name,agency_name,photos_count,title,description_short,verified_flag,scraped_at,price_per_sqm,days_on_market,missing_size_flag,raw_usage,raw_property_type,raw_property_subtype,annual_amount_aed,contract_amount_aed,start_date,end_date,size_imputed_flag
DubaiPulse_DLD_sale_1-41-2013-275,DubaiPulse_DLD,Marina,1050000.0,99.57,0,Apartment,25.08111165105359,55.138955035695986,2013-04-10,2013-04-10,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.162786+00:00,10545.344983428744,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-41-2013-226,DubaiPulse_DLD,Marina,1174346.0,94.63,0,Apartment,25.080337023117433,55.13832530077481,2013-04-08,2013-04-08,sale,,,,Lakeside,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.162951+00:00,12409.8700200782,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-102-2015-7863,DubaiPulse_DLD,Marina,566127.0,36.68,0,Apartment,25.08162634640081,55.139721110361734,2015-06-24,2015-06-24,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.163110+00:00,15434.214830970557,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-102-2023-46666,DubaiPulse_DLD,Marina,515000.0,57.44,0,Apartment,25.080929004310615,55.13810835642779,2023-09-12,2023-09-12,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.163201+00:00,8965.877437325906,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-102-2004-683,DubaiPulse_DLD,Marina,349819.0,59.43,0,Apartment,25.078759246412584,55.138266460083294,2010-06-08,2010-06-08,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.163294+00:00,5886.2359077906785,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-102-2014-5533,DubaiPulse_DLD,Marina,395294.0,31.77,0,Apartment,25.081929656710457,55.14129899186967,2014-05-29,2014-05-29,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.163387+00:00,12442.367012905257,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-102-2017-4852,DubaiPulse_DLD,Marina,1160000.0,126.54,0,Apartment,25.08021010032439,55.13813818602923,2017-02-20,2017-02-20,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.164015+00:00,9167.061798640745,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-102-2003-62,DubaiPulse_DLD,Marina,427056.0,83.09,0,Apartment,25.081791446720047,55.14035139715178,2015-08-20,2015-08-20,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.164116+00:00,5139.679865206403,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-102-2015-18082,DubaiPulse_DLD,Marina,943550.0,107.4,0,Apartment,25.081854567672497,55.1385705022513,2015-12-23,2015-12-23,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.164266+00:00,8785.381750465549,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-102-2015-18080,DubaiPulse_DLD,Marina,695713.0,78.82,0,Apartment,25.079108746283598,55.13933132303495,2015-12-23,2015-12-23,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.164363+00:00,8826.604922608476,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-102-2016-12316,DubaiPulse_DLD,Marina,620296.0,59.41,0,Apartment,25.078392058228598,55.1416043940508,2016-09-05,2016-09-05,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.164455+00:00,10440.93586938226,,False,Residential,Unit,Flat,,,,,
DubaiPulse_DLD_sale_1-102-2016-4341,DubaiPulse_DLD,Marina,385000.0,30.08,0,Apartment,25.080756130391933,55.138916007151714,2016-04-19,2016-04-19,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T23:17:05.164547+00:00,12799.202127659575,,False,Residential,Unit,Flat,,,,,
